#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.317786E+01   0.133670E+05   0.133012E+05  -0.316382E-04  -0.322630E-04   0.250439E+01   0.132965E+05   0.133567E+05   0.132965E+05  -0.317639E-03   0.703107E+04   0.703035E+04   0.761472E-04
   0.344297E+01   0.116348E+05   0.115775E+05  -0.234606E-04  -0.239239E-04   0.185914E+01   0.115734E+05   0.116258E+05   0.115734E+05  -0.276476E-03   0.611992E+04   0.611929E+04   0.610547E-04
   0.373019E+01   0.101229E+05   0.100731E+05  -0.173897E-04  -0.177331E-04   0.137937E+01   0.100695E+05   0.101151E+05   0.100695E+05  -0.240550E-03   0.532468E+04   0.532413E+04   0.489173E-04
   0.404137E+01   0.880411E+04   0.876075E+04  -0.128847E-04  -0.131392E-04   0.102287E+01   0.875765E+04   0.879729E+04   0.875765E+04  -0.209211E-03   0.463098E+04   0.463051E+04   0.391619E-04
   0.437851E+01   0.765419E+04   0.761650E+04  -0.954320E-05  -0.973167E-05   0.758144E+00   0.761380E+04   0.764827E+04   0.761380E+04  -0.181886E-03   0.402612E+04   0.402571E+04   0.313254E-04
   0.474378E+01   0.665204E+04   0.661929E+04  -0.706568E-05  -0.720522E-05   0.561665E+00   0.661694E+04   0.664689E+04   0.661694E+04  -0.158072E-03   0.349899E+04   0.349863E+04   0.250340E-04
   0.513952E+01   0.577903E+04   0.575058E+04  -0.522948E-05  -0.533275E-05   0.415923E+00   0.574854E+04   0.577456E+04   0.574854E+04  -0.137327E-03   0.303979E+04   0.303948E+04   0.199859E-04
   0.556827E+01   0.501888E+04   0.499417E+04  -0.386913E-05  -0.394555E-05   0.307869E+00   0.499240E+04   0.501500E+04   0.499240E+04  -0.119263E-03   0.263994E+04   0.263968E+04   0.159378E-04
   0.603279E+01   0.435726E+04   0.433582E+04  -0.286170E-05  -0.291822E-05   0.227798E+00   0.433427E+04   0.435389E+04   0.433427E+04  -0.103541E-03   0.229193E+04   0.229170E+04   0.126937E-04
   0.653606E+01   0.378163E+04   0.376302E+04  -0.211590E-05  -0.215768E-05   0.168486E+00   0.376168E+04   0.377871E+04   0.376168E+04  -0.898625E-04   0.198915E+04   0.198895E+04   0.100956E-04
   0.708132E+01   0.328102E+04   0.326488E+04  -0.156397E-05  -0.159486E-05   0.124573E+00   0.326371E+04   0.327849E+04   0.326371E+04  -0.779666E-04   0.172583E+04   0.172566E+04   0.801622E-05
   0.767206E+01   0.284581E+04   0.283181E+04  -0.115566E-05  -0.117848E-05   0.920722E-01   0.283079E+04   0.284361E+04   0.283079E+04  -0.676247E-04   0.149690E+04   0.149676E+04   0.635325E-05
   0.831208E+01   0.246760E+04   0.245547E+04  -0.853692E-06  -0.870552E-06   0.680300E-01   0.245458E+04   0.246569E+04   0.245458E+04  -0.586374E-04   0.129796E+04   0.129784E+04   0.502438E-05
   0.900549E+01   0.213904E+04   0.212853E+04  -0.630447E-06  -0.642898E-06   0.502483E-01   0.212775E+04   0.213739E+04   0.212775E+04  -0.508298E-04   0.112514E+04   0.112503E+04   0.396338E-05
   0.975675E+01   0.185371E+04   0.184460E+04  -0.465452E-06  -0.474644E-06   0.371036E-01   0.184393E+04   0.185228E+04   0.184393E+04  -0.440495E-04   0.975055E+03   0.974964E+03   0.311708E-05
   0.105707E+02   0.160600E+04   0.159812E+04  -0.343544E-06  -0.350329E-06   0.273891E-01   0.159753E+04   0.160476E+04   0.159753E+04  -0.381633E-04   0.844761E+03   0.844683E+03   0.244274E-05
   0.114525E+02   0.139103E+04   0.138420E+04  -0.253499E-06  -0.258505E-06   0.202128E-01   0.138369E+04   0.138996E+04   0.138369E+04  -0.330549E-04   0.731684E+03   0.731619E+03   0.190607E-05
   0.124079E+02   0.120452E+04   0.119861E+04  -0.187007E-06  -0.190700E-06   0.149125E-01   0.119817E+04   0.120359E+04   0.119817E+04  -0.286230E-04   0.633581E+03   0.633526E+03   0.147955E-05
   0.134430E+02   0.104276E+04   0.103765E+04  -0.137921E-06  -0.140644E-06   0.109994E-01   0.103726E+04   0.104196E+04   0.103726E+04  -0.247791E-04   0.548494E+03   0.548448E+03   0.114109E-05
   0.145645E+02   0.902501E+03   0.898083E+03  -0.101694E-06  -0.103702E-06   0.811072E-02   0.897743E+03   0.901807E+03   0.897743E+03  -0.214461E-04   0.474718E+03   0.474680E+03   0.872993E-06
   0.157795E+02   0.780923E+03   0.777104E+03  -0.749648E-07  -0.764454E-07   0.597928E-02   0.776806E+03   0.780323E+03   0.776806E+03  -0.185571E-04   0.410768E+03   0.410737E+03   0.661079E-06
   0.170958E+02   0.675566E+03   0.672266E+03  -0.552483E-07  -0.563394E-07   0.440703E-02   0.672005E+03   0.675048E+03   0.672005E+03  -0.160535E-04   0.355350E+03   0.355325E+03   0.493984E-06
   0.185220E+02   0.584292E+03   0.581441E+03  -0.407081E-07  -0.415121E-07   0.324729E-02   0.581212E+03   0.583844E+03   0.581212E+03  -0.138846E-04   0.307339E+03   0.307319E+03   0.362612E-06
   0.200672E+02   0.505237E+03   0.502777E+03  -0.299879E-07  -0.305802E-07   0.239221E-02   0.502575E+03   0.504850E+03   0.502575E+03  -0.120060E-04   0.265756E+03   0.265741E+03   0.259685E-06
   0.217412E+02   0.436784E+03   0.434661E+03  -0.220860E-07  -0.225223E-07   0.176194E-02   0.434483E+03   0.436450E+03   0.434483E+03  -0.103793E-04   0.229750E+03   0.229738E+03   0.179382E-06
   0.235549E+02   0.377525E+03   0.375694E+03  -0.162628E-07  -0.165840E-07   0.129748E-02   0.375537E+03   0.377237E+03   0.375537E+03  -0.897119E-05   0.198579E+03   0.198571E+03   0.117049E-06
   0.255199E+02   0.326238E+03   0.324661E+03  -0.119724E-07  -0.122089E-07   0.955229E-03   0.324521E+03   0.325990E+03   0.324521E+03  -0.775247E-05   0.171602E+03   0.171597E+03   0.689685E-07
   0.276489E+02   0.281861E+03   0.280502E+03  -0.881211E-08  -0.898618E-08   0.703088E-03   0.280378E+03   0.281648E+03   0.280378E+03  -0.669794E-05   0.148260E+03   0.148257E+03   0.321738E-07
   0.299554E+02   0.243472E+03   0.242302E+03  -0.648468E-08  -0.661278E-08   0.517417E-03   0.242191E+03   0.243288E+03   0.242191E+03  -0.578570E-05   0.128067E+03   0.128067E+03   0.429720E-08
   0.324544E+02   0.210269E+03   0.209264E+03  -0.477100E-08  -0.486525E-08   0.380676E-03   0.209164E+03   0.210111E+03   0.209164E+03  -0.499671E-05   0.110602E+03   0.110604E+03  -0.165488E-07
   0.351618E+02   0.181559E+03   0.180695E+03  -0.350949E-08  -0.357882E-08   0.280040E-03   0.180606E+03   0.181423E+03   0.180606E+03  -0.431448E-05   0.955009E+02   0.955042E+02  -0.318675E-07
   0.380951E+02   0.156738E+03   0.155998E+03  -0.258102E-08  -0.263202E-08   0.205954E-03   0.155916E+03   0.156622E+03   0.155916E+03  -0.372467E-05   0.824453E+02   0.824502E+02  -0.428551E-07
   0.412731E+02   0.135285E+03   0.134650E+03  -0.189781E-08  -0.193531E-08   0.151463E-03   0.134576E+03   0.135185E+03   0.134576E+03  -0.321488E-05   0.711607E+02   0.711670E+02  -0.504625E-07
   0.447162E+02   0.116746E+03   0.116203E+03  -0.139518E-08  -0.142275E-08   0.111335E-03   0.116135E+03   0.116660E+03   0.116135E+03  -0.277433E-05   0.614090E+02   0.614164E+02  -0.554445E-07
   0.484465E+02   0.100728E+03   0.100264E+03  -0.102546E-08  -0.104572E-08   0.818356E-04   0.100201E+03   0.100655E+03   0.100201E+03  -0.239370E-05   0.529834E+02   0.529919E+02  -0.583994E-07
   0.524880E+02   0.868903E+02   0.864950E+02  -0.753561E-09  -0.768454E-09   0.601567E-04   0.864369E+02   0.868282E+02   0.864369E+02  -0.206489E-05   0.457050E+02   0.457144E+02  -0.598010E-07
   0.551124E+02   0.794056E+02   0.790474E+02  -0.624599E-09  -0.636944E-09   0.498592E-04   0.789917E+02   0.793493E+02   0.789917E+02  -0.188703E-05   0.417680E+02   0.417779E+02  -0.600563E-07
