#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.443482E-02   0.180742E+08   0.180704E+08   0.216527E+03  -0.221610E+05   0.152624E+08   0.180610E+08   0.180736E+08   0.180609E+08  -0.431460E+00   0.953536E+07   0.953488E+07   0.367882E+02
   0.489691E-02   0.178492E+08   0.178449E+08  -0.200713E+04  -0.179520E+05   0.147684E+08   0.178346E+08   0.178485E+08   0.178346E+08  -0.426053E+00   0.941609E+07   0.941560E+07   0.333035E+02
   0.540714E-02   0.176015E+08   0.175967E+08  -0.268573E+04  -0.145216E+05   0.142434E+08   0.175856E+08   0.176007E+08   0.175856E+08  -0.420103E+00   0.928483E+07   0.928434E+07   0.300264E+02
   0.597054E-02   0.173298E+08   0.173244E+08  -0.193493E+04  -0.117284E+05   0.136869E+08   0.173125E+08   0.173289E+08   0.173125E+08  -0.413579E+00   0.914089E+07   0.914040E+07   0.270714E+02
   0.659264E-02   0.170331E+08   0.170269E+08  -0.240751E+04  -0.945653E+04   0.130674E+08   0.170142E+08   0.170321E+08   0.170142E+08  -0.406453E+00   0.898369E+07   0.898321E+07   0.245119E+02
   0.727955E-02   0.167091E+08   0.167021E+08  -0.210566E+04  -0.761013E+04   0.124341E+08   0.166888E+08   0.167080E+08   0.166888E+08  -0.398678E+00   0.881214E+07   0.881166E+07   0.221774E+02
   0.803805E-02   0.163568E+08   0.163487E+08  -0.203842E+04  -0.611140E+04   0.117741E+08   0.163349E+08   0.163555E+08   0.163349E+08  -0.390224E+00   0.862558E+07   0.862509E+07   0.200895E+02
   0.887557E-02   0.159751E+08   0.159658E+08  -0.236702E+04  -0.489665E+04   0.110965E+08   0.159517E+08   0.159737E+08   0.159517E+08  -0.381070E+00   0.842356E+07   0.842308E+07   0.182471E+02
   0.980035E-02   0.155629E+08   0.155521E+08  -0.122253E+04  -0.391349E+04   0.104022E+08   0.155379E+08   0.155612E+08   0.155379E+08  -0.371186E+00   0.820540E+07   0.820491E+07   0.165893E+02
   0.108215E-01   0.151186E+08   0.151061E+08  -0.159577E+04  -0.311899E+04   0.969074E+07   0.150921E+08   0.151166E+08   0.150921E+08  -0.360536E+00   0.797033E+07   0.796984E+07   0.151406E+02
   0.119490E-01   0.146410E+08   0.146265E+08  -0.136051E+04  -0.247804E+04   0.896782E+07   0.146131E+08   0.146387E+08   0.146131E+08  -0.349093E+00   0.771772E+07   0.771722E+07   0.138388E+02
   0.131941E-01   0.141291E+08   0.141122E+08  -0.978471E+03  -0.196197E+04   0.824117E+07   0.140999E+08   0.141264E+08   0.140999E+08  -0.336832E+00   0.744702E+07   0.744651E+07   0.126961E+02
   0.145688E-01   0.135819E+08   0.135624E+08  -0.963928E+03  -0.154734E+04   0.751739E+07   0.135515E+08   0.135788E+08   0.135515E+08  -0.323731E+00   0.715773E+07   0.715722E+07   0.116795E+02
   0.160868E-01   0.129989E+08   0.129764E+08  -0.875251E+03  -0.121502E+04   0.679900E+07   0.129674E+08   0.129954E+08   0.129674E+08  -0.309779E+00   0.684960E+07   0.684909E+07   0.107753E+02
   0.177630E-01   0.123802E+08   0.123544E+08  -0.534120E+03  -0.949424E+03   0.609541E+07   0.123478E+08   0.123761E+08   0.123478E+08  -0.294977E+00   0.652268E+07   0.652215E+07   0.995934E+01
   0.196138E-01   0.117268E+08   0.116975E+08  -0.504702E+03  -0.737855E+03   0.541220E+07   0.116938E+08   0.117222E+08   0.116938E+08  -0.279353E+00   0.617754E+07   0.617700E+07   0.921478E+01
   0.216574E-01   0.110414E+08   0.110083E+08  -0.354752E+03  -0.569991E+03   0.475646E+07   0.110079E+08   0.110362E+08   0.110079E+08  -0.262966E+00   0.581551E+07   0.581495E+07   0.852059E+01
   0.239140E-01   0.103282E+08   0.102914E+08  -0.301307E+03  -0.437448E+03   0.413498E+07   0.102946E+08   0.103225E+08   0.102946E+08  -0.245926E+00   0.543899E+07   0.543843E+07   0.785235E+01
   0.264058E-01   0.959469E+07   0.955435E+07  -0.234901E+03  -0.333413E+03   0.355465E+07   0.956116E+07   0.958835E+07   0.956116E+07  -0.228406E+00   0.505180E+07   0.505123E+07   0.719120E+01
   0.291571E-01   0.885120E+07   0.880790E+07  -0.150682E+03  -0.252349E+03   0.302115E+07   0.881815E+07   0.884440E+07   0.881815E+07  -0.210656E+00   0.465949E+07   0.465892E+07   0.651619E+01
   0.321951E-01   0.811190E+07   0.806657E+07  -0.158663E+03  -0.189744E+03   0.253973E+07   0.807970E+07   0.810478E+07   0.807970E+07  -0.193016E+00   0.426954E+07   0.426898E+07   0.581161E+01
   0.355497E-01   0.739427E+07   0.734829E+07  -0.942372E+02  -0.141901E+03   0.211421E+07   0.736328E+07   0.738705E+07   0.736328E+07  -0.175901E+00   0.389118E+07   0.389064E+07   0.506895E+01
   0.392538E-01   0.671785E+07   0.667301E+07  -0.709270E+02  -0.105772E+03   0.174650E+07   0.668843E+07   0.671080E+07   0.668843E+07  -0.159780E+00   0.353474E+07   0.353423E+07   0.429071E+01
   0.433438E-01   0.610142E+07   0.605977E+07  -0.793773E+02  -0.788198E+02   0.143607E+07   0.607388E+07   0.609488E+07   0.607388E+07  -0.145099E+00   0.321012E+07   0.320966E+07   0.349419E+01
   0.476782E-01   0.557641E+07   0.553973E+07  -0.583996E+02  -0.595578E+02   0.118800E+07   0.555090E+07   0.557065E+07   0.555090E+07  -0.132605E+00   0.293385E+07   0.293346E+07   0.274293E+01
   0.520126E-01   0.516283E+07   0.513194E+07  -0.454501E+02  -0.463512E+02   0.100083E+07   0.513924E+07   0.515798E+07   0.513924E+07  -0.122771E+00   0.271638E+07   0.271605E+07   0.210784E+01
   0.563469E-01   0.482651E+07   0.480138E+07  -0.362175E+02  -0.369354E+02   0.855415E+06   0.480468E+07   0.482256E+07   0.480468E+07  -0.114779E+00   0.253963E+07   0.253936E+07   0.160032E+01
   0.606813E-01   0.454135E+07   0.452126E+07  -0.293935E+02  -0.299759E+02   0.739007E+06   0.452107E+07   0.453819E+07   0.452107E+07  -0.108004E+00   0.238979E+07   0.238957E+07   0.122136E+01
   0.650157E-01   0.428776E+07   0.427151E+07  -0.241825E+02  -0.246616E+02   0.643104E+06   0.426879E+07   0.428521E+07   0.426879E+07  -0.101977E+00   0.225650E+07   0.225632E+07   0.961225E+00
   0.693501E-01   0.404956E+07   0.403572E+07  -0.200783E+02  -0.204760E+02   0.561769E+06   0.403167E+07   0.404738E+07   0.403167E+07  -0.963124E-01   0.213121E+07   0.213104E+07   0.801268E+00
   0.736844E-01   0.381474E+07   0.380194E+07  -0.167574E+02  -0.170892E+02   0.491015E+06   0.379776E+07   0.381273E+07   0.379776E+07  -0.907244E-01   0.200760E+07   0.200745E+07   0.717296E+00
   0.780188E-01   0.357965E+07   0.356674E+07  -0.140278E+02  -0.143055E+02   0.428767E+06   0.356343E+07   0.357762E+07   0.356343E+07  -0.851266E-01   0.188377E+07   0.188361E+07   0.683686E+00
   0.823532E-01   0.334735E+07   0.333359E+07  -0.117739E+02  -0.120070E+02   0.374113E+06   0.333179E+07   0.334519E+07   0.333179E+07  -0.795931E-01   0.176135E+07   0.176119E+07   0.676558E+00
   0.866876E-01   0.312423E+07   0.310932E+07  -0.991809E+01  -0.101144E+02   0.326630E+06   0.310929E+07   0.312189E+07   0.310929E+07  -0.742776E-01   0.164376E+07   0.164358E+07   0.676171E+00
   0.910220E-01   0.291650E+07   0.290055E+07  -0.839807E+01  -0.856426E+01   0.285895E+06   0.290215E+07   0.291399E+07   0.290215E+07  -0.693292E-01   0.153428E+07   0.153409E+07   0.668387E+00
   0.964383E-01   0.268582E+07   0.266919E+07  -0.688975E+01  -0.702607E+01   0.243670E+06   0.267221E+07   0.268321E+07   0.267221E+07  -0.638363E-01   0.141274E+07   0.141256E+07   0.636679E+00
   0.101855E+00   0.249306E+07   0.247674E+07  -0.573359E+01  -0.584702E+01   0.210002E+06   0.248022E+07   0.249049E+07   0.248022E+07  -0.592497E-01   0.131126E+07   0.131108E+07   0.578239E+00
   0.107271E+00   0.233964E+07   0.232459E+07  -0.485167E+01  -0.494764E+01   0.183521E+06   0.232757E+07   0.233727E+07   0.232757E+07  -0.556031E-01   0.123057E+07   0.123041E+07   0.500225E+00
   0.112687E+00   0.222002E+07   0.220691E+07  -0.417239E+01  -0.425492E+01   0.162600E+06   0.220870E+07   0.221796E+07   0.220870E+07  -0.527635E-01   0.116774E+07   0.116760E+07   0.415064E+00
   0.118103E+00   0.212329E+07   0.211233E+07  -0.363362E+01  -0.370548E+01   0.145573E+06   0.211266E+07   0.212157E+07   0.211266E+07  -0.504692E-01   0.111697E+07   0.111685E+07   0.335622E+00
   0.123520E+00   0.203745E+07   0.202842E+07  -0.318820E+01  -0.325125E+01   0.131056E+06   0.202744E+07   0.203603E+07   0.202744E+07  -0.484335E-01   0.107193E+07   0.107183E+07   0.271638E+00
   0.128936E+00   0.195305E+07   0.194540E+07  -0.280515E+01  -0.286062E+01   0.118110E+06   0.194358E+07   0.195184E+07   0.194358E+07  -0.464301E-01   0.102759E+07   0.102751E+07   0.227865E+00
   0.134352E+00   0.186476E+07   0.185780E+07  -0.246697E+01  -0.251575E+01   0.106228E+06   0.185574E+07   0.186367E+07   0.185574E+07  -0.443318E-01   0.981163E+06   0.981081E+06   0.203874E+00
   0.139768E+00   0.177155E+07   0.176466E+07  -0.216563E+01  -0.220845E+01   0.952342E+05   0.176292E+07   0.177047E+07   0.176292E+07  -0.421143E-01   0.932093E+06   0.932011E+06   0.195206E+00
   0.145185E+00   0.167559E+07   0.166833E+07  -0.189834E+01  -0.193588E+01   0.851461E+05   0.166729E+07   0.167445E+07   0.166729E+07  -0.398298E-01   0.881538E+06   0.881453E+06   0.195272E+00
   0.150601E+00   0.158081E+07   0.157301E+07  -0.166441E+01  -0.169731E+01   0.760550E+05   0.157281E+07   0.157958E+07   0.157281E+07  -0.375727E-01   0.831589E+06   0.831500E+06   0.197371E+00
   0.156017E+00   0.149194E+07   0.148371E+07  -0.146362E+01  -0.149256E+01   0.680646E+05   0.148423E+07   0.149064E+07   0.148423E+07  -0.354568E-01   0.784764E+06   0.784672E+06   0.196329E+00
   0.161434E+00   0.141344E+07   0.140508E+07  -0.129512E+01  -0.132072E+01   0.612362E+05   0.140604E+07   0.141213E+07   0.140604E+07  -0.335887E-01   0.743424E+06   0.743332E+06   0.189382E+00
   0.166850E+00   0.134773E+07   0.133960E+07  -0.115607E+01  -0.117892E+01   0.555275E+05   0.134064E+07   0.134646E+07   0.134064E+07  -0.320264E-01   0.708848E+06   0.708760E+06   0.176255E+00
   0.172266E+00   0.129417E+07   0.128658E+07  -0.104147E+01  -0.106205E+01   0.507748E+05   0.128738E+07   0.129298E+07   0.128738E+07  -0.307541E-01   0.680691E+06   0.680609E+06   0.158605E+00
   0.177682E+00   0.124984E+07   0.124301E+07  -0.945493E+00  -0.964181E+00   0.467533E+05   0.124335E+07   0.124877E+07   0.124335E+07  -0.297023E-01   0.657413E+06   0.657339E+06   0.139158E+00
   0.183099E+00   0.121124E+07   0.120521E+07  -0.862968E+00  -0.880024E+00   0.432514E+05   0.120503E+07   0.121029E+07   0.120503E+07  -0.287870E-01   0.637156E+06   0.637089E+06   0.120774E+00
   0.188515E+00   0.117502E+07   0.116969E+07  -0.789820E+00  -0.805430E+00   0.400962E+05   0.116908E+07   0.117419E+07   0.116908E+07  -0.279280E-01   0.618145E+06   0.618085E+06   0.105680E+00
   0.193931E+00   0.113830E+07   0.113346E+07  -0.723041E+00  -0.737331E+00   0.371576E+05   0.113258E+07   0.113754E+07   0.113258E+07  -0.270561E-01   0.598850E+06   0.598795E+06   0.950008E-01
   0.199348E+00   0.109929E+07   0.109469E+07  -0.660856E+00  -0.673917E+00   0.343600E+05   0.109377E+07   0.109856E+07   0.109377E+07  -0.261290E-01   0.578330E+06   0.578277E+06   0.886975E-01
   0.204764E+00   0.105788E+07   0.105332E+07  -0.602772E+00  -0.614684E+00   0.316908E+05   0.105254E+07   0.105717E+07   0.105254E+07  -0.251441E-01   0.556534E+06   0.556482E+06   0.858070E-01
   0.210180E+00   0.101537E+07   0.101070E+07  -0.549110E+00  -0.559961E+00   0.291784E+05   0.101020E+07   0.101464E+07   0.101020E+07  -0.241326E-01   0.534146E+06   0.534093E+06   0.848600E-01
   0.215596E+00   0.973585E+06   0.968755E+06  -0.500377E+00  -0.510264E+00   0.268609E+05   0.968563E+06   0.972826E+06   0.968563E+06  -0.231379E-01   0.512133E+06   0.512079E+06   0.843297E-01
   0.221013E+00   0.934267E+06   0.929327E+06  -0.456913E+00  -0.465941E+00   0.247682E+05   0.929395E+06   0.933491E+06   0.929395E+06  -0.222023E-01   0.491425E+06   0.491370E+06   0.830072E-01
   0.226429E+00   0.898775E+06   0.893831E+06  -0.418774E+00  -0.427049E+00   0.229142E+05   0.894054E+06   0.897998E+06   0.894054E+06  -0.213580E-01   0.472740E+06   0.472685E+06   0.802261E-01
   0.231845E+00   0.867767E+06   0.862946E+06  -0.385660E+00  -0.393280E+00   0.212928E+05   0.863198E+06   0.867010E+06   0.863198E+06  -0.206209E-01   0.456425E+06   0.456372E+06   0.759062E-01
   0.237262E+00   0.841055E+06   0.836471E+06  -0.356928E+00  -0.363981E+00   0.198774E+05   0.836637E+06   0.840335E+06   0.836637E+06  -0.199864E-01   0.442382E+06   0.442332E+06   0.704455E-01
   0.242678E+00   0.817786E+06   0.813508E+06  -0.331749E+00  -0.338304E+00   0.186292E+05   0.813515E+06   0.817114E+06   0.813515E+06  -0.194340E-01   0.430156E+06   0.430109E+06   0.645176E-01
   0.248094E+00   0.796746E+06   0.792790E+06  -0.309271E+00  -0.315382E+00   0.175062E+05   0.792616E+06   0.796125E+06   0.792616E+06  -0.189348E-01   0.419106E+06   0.419062E+06   0.588427E-01
   0.253510E+00   0.776633E+06   0.772960E+06  -0.288733E+00  -0.294438E+00   0.164697E+05   0.772632E+06   0.776056E+06   0.772632E+06  -0.184574E-01   0.408540E+06   0.408499E+06   0.539932E-01
   0.258927E+00   0.756352E+06   0.752891E+06  -0.269562E+00  -0.274888E+00   0.154904E+05   0.752472E+06   0.755809E+06   0.752472E+06  -0.179758E-01   0.397881E+06   0.397842E+06   0.502776E-01
   0.264343E+00   0.735348E+06   0.732012E+06  -0.251451E+00  -0.256419E+00   0.145531E+05   0.731578E+06   0.734824E+06   0.731578E+06  -0.174766E-01   0.386833E+06   0.386795E+06   0.477156E-01
