#    L    TT             EE             TE             PP             TP          
   256   0.535620E+04   0.287138E+01   0.731535E+02   0.205485E+07   0.156864E+04
   257   0.533520E+04   0.296692E+01   0.747122E+02   0.204621E+07   0.155568E+04
   258   0.531370E+04   0.306472E+01   0.762556E+02   0.203762E+07   0.154282E+04
   259   0.529170E+04   0.316480E+01   0.777841E+02   0.202910E+07   0.153004E+04
   260   0.526924E+04   0.326715E+01   0.792956E+02   0.202063E+07   0.151736E+04
   261   0.524631E+04   0.337177E+01   0.807907E+02   0.201221E+07   0.150477E+04
   262   0.522294E+04   0.347867E+01   0.822680E+02   0.200386E+07   0.149227E+04
   263   0.519912E+04   0.358785E+01   0.837275E+02   0.199556E+07   0.147986E+04
   264   0.517487E+04   0.369928E+01   0.851677E+02   0.198731E+07   0.146754E+04
   265   0.515020E+04   0.381297E+01   0.865894E+02   0.197912E+07   0.145531E+04
   266   0.512509E+04   0.392890E+01   0.879902E+02   0.197098E+07   0.144316E+04
   267   0.509958E+04   0.404706E+01   0.893695E+02   0.196290E+07   0.143111E+04
   268   0.507366E+04   0.416745E+01   0.907280E+02   0.195487E+07   0.141913E+04
   269   0.504733E+04   0.429004E+01   0.920635E+02   0.194689E+07   0.140724E+04
   270   0.502060E+04   0.441483E+01   0.933767E+02   0.193896E+07   0.139544E+04
   271   0.499349E+04   0.454180E+01   0.946655E+02   0.193109E+07   0.138372E+04
   272   0.496599E+04   0.467094E+01   0.959304E+02   0.192327E+07   0.137208E+04
   273   0.493814E+04   0.480221E+01   0.971702E+02   0.191550E+07   0.136053E+04
   274   0.490992E+04   0.493562E+01   0.983854E+02   0.190777E+07   0.134905E+04
   275   0.488136E+04   0.507112E+01   0.995739E+02   0.190010E+07   0.133766E+04
   276   0.485246E+04   0.520872E+01   0.100736E+03   0.189248E+07   0.132634E+04
   277   0.482324E+04   0.534838E+01   0.101871E+03   0.188491E+07   0.131510E+04
   278   0.479370E+04   0.549008E+01   0.102978E+03   0.187739E+07   0.130394E+04
   279   0.476385E+04   0.563379E+01   0.104058E+03   0.186991E+07   0.129286E+04
   280   0.473372E+04   0.577947E+01   0.105108E+03   0.186248E+07   0.128185E+04
   281   0.470329E+04   0.592712E+01   0.106130E+03   0.185510E+07   0.127092E+04
   282   0.467259E+04   0.607668E+01   0.107121E+03   0.184777E+07   0.126007E+04
   283   0.464163E+04   0.622814E+01   0.108083E+03   0.184048E+07   0.124928E+04
   284   0.461041E+04   0.638146E+01   0.109013E+03   0.183323E+07   0.123857E+04
   285   0.457894E+04   0.653661E+01   0.109912E+03   0.182604E+07   0.122794E+04
   286   0.454724E+04   0.669356E+01   0.110780E+03   0.181889E+07   0.121737E+04
   287   0.451532E+04   0.685225E+01   0.111615E+03   0.181178E+07   0.120688E+04
   288   0.448319E+04   0.701267E+01   0.112418E+03   0.180471E+07   0.119645E+04
   289   0.445084E+04   0.717477E+01   0.113188E+03   0.179769E+07   0.118609E+04
   290   0.441832E+04   0.733851E+01   0.113925E+03   0.179071E+07   0.117580E+04
   291   0.438561E+04   0.750387E+01   0.114628E+03   0.178378E+07   0.116558E+04
   292   0.435273E+04   0.767071E+01   0.115297E+03   0.177689E+07   0.115543E+04
   293   0.431968E+04   0.783912E+01   0.115931E+03   0.177003E+07   0.114534E+04
   294   0.428648E+04   0.800901E+01   0.116530E+03   0.176322E+07   0.113532E+04
   295   0.425314E+04   0.818023E+01   0.117095E+03   0.175645E+07   0.112536E+04
   296   0.421966E+04   0.835288E+01   0.117623E+03   0.174972E+07   0.111546E+04
   297   0.418605E+04   0.852678E+01   0.118115E+03   0.174304E+07   0.110563E+04
   298   0.415233E+04   0.870195E+01   0.118570E+03   0.173638E+07   0.109586E+04
   299   0.411851E+04   0.887830E+01   0.118988E+03   0.172977E+07   0.108615E+04
   300   0.408458E+04   0.905577E+01   0.119370E+03   0.172320E+07   0.107649E+04
   301   0.405058E+04   0.923443E+01   0.119714E+03   0.171666E+07   0.106690E+04
   302   0.401651E+04   0.941406E+01   0.120022E+03   0.171016E+07   0.105737E+04
   303   0.398238E+04   0.959472E+01   0.120292E+03   0.170370E+07   0.104790E+04
   304   0.394821E+04   0.977636E+01   0.120525E+03   0.169728E+07   0.103849E+04
   305   0.391401E+04   0.995888E+01   0.120720E+03   0.169089E+07   0.102914E+04
   306   0.387978E+04   0.101423E+02   0.120878E+03   0.168454E+07   0.101985E+04
   307   0.384554E+04   0.103265E+02   0.120997E+03   0.167823E+07   0.101062E+04
   308   0.381130E+04   0.105114E+02   0.121079E+03   0.167195E+07   0.100145E+04
   309   0.377707E+04   0.106969E+02   0.121123E+03   0.166571E+07   0.992337E+03
   310   0.374285E+04   0.108830E+02   0.121129E+03   0.165950E+07   0.983290E+03
   311   0.370867E+04   0.110697E+02   0.121095E+03   0.165333E+07   0.974303E+03
   312   0.367451E+04   0.112568E+02   0.121024E+03   0.164719E+07   0.965378E+03
   313   0.364041E+04   0.114444E+02   0.120914E+03   0.164109E+07   0.956515E+03
   314   0.360636E+04   0.116323E+02   0.120765E+03   0.163502E+07   0.947713E+03
   315   0.357238E+04   0.118204E+02   0.120578E+03   0.162899E+07   0.938973E+03
   316   0.353848E+04   0.120088E+02   0.120353E+03   0.162299E+07   0.930296E+03
   317   0.350467E+04   0.121973E+02   0.120089E+03   0.161702E+07   0.921681E+03
   318   0.347096E+04   0.123858E+02   0.119787E+03   0.161109E+07   0.913129E+03
   319   0.343735E+04   0.125744E+02   0.119446E+03   0.160519E+07   0.904639E+03
   320   0.340386E+04   0.127629E+02   0.119067E+03   0.159932E+07   0.896213E+03
   321   0.337051E+04   0.129513E+02   0.118650E+03   0.159349E+07   0.887849E+03
