#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    67   0.179031E+04  -0.443619E+01   0.575998E-03  -0.443619E+01   0.288975E+00  -0.771525E-06   0.575998E-03  -0.771525E-06   0.123545E-06
    68   0.181405E+04  -0.484916E+01   0.566534E-03  -0.484916E+01   0.301457E+00  -0.911192E-06   0.566534E-03  -0.911192E-06   0.122876E-06
    69   0.183796E+04  -0.527387E+01   0.557345E-03  -0.527387E+01   0.314177E+00  -0.102950E-05   0.557345E-03  -0.102950E-05   0.122204E-06
    70   0.186200E+04  -0.570984E+01   0.548474E-03  -0.570984E+01   0.327128E+00  -0.110694E-05   0.548474E-03  -0.110694E-05   0.121530E-06
    71   0.188617E+04  -0.615687E+01   0.539953E-03  -0.615687E+01   0.340305E+00  -0.112944E-05   0.539953E-03  -0.112944E-05   0.120855E-06
    72   0.191056E+04  -0.661588E+01   0.531762E-03  -0.661588E+01   0.353705E+00  -0.110453E-05   0.531762E-03  -0.110453E-05   0.120179E-06
    73   0.193530E+04  -0.708783E+01   0.523868E-03  -0.708783E+01   0.367322E+00  -0.104519E-05   0.523868E-03  -0.104519E-05   0.119502E-06
    74   0.196039E+04  -0.757263E+01   0.516238E-03  -0.757263E+01   0.381145E+00  -0.964377E-06   0.516238E-03  -0.964377E-06   0.118824E-06
    75   0.198583E+04  -0.806983E+01   0.508839E-03  -0.806983E+01   0.395163E+00  -0.875048E-06   0.508839E-03  -0.875048E-06   0.118144E-06
    76   0.201159E+04  -0.857889E+01   0.501639E-03  -0.857889E+01   0.409360E+00  -0.788933E-06   0.501639E-03  -0.788933E-06   0.117463E-06
    77   0.203753E+04  -0.909837E+01   0.494613E-03  -0.909837E+01   0.423727E+00  -0.712838E-06   0.494613E-03  -0.712838E-06   0.116782E-06
    78   0.206364E+04  -0.962780E+01   0.487736E-03  -0.962780E+01   0.438252E+00  -0.652333E-06   0.487736E-03  -0.652333E-06   0.116100E-06
    79   0.208997E+04  -0.101670E+02   0.480983E-03  -0.101670E+02   0.452922E+00  -0.612989E-06   0.480983E-03  -0.612989E-06   0.115418E-06
    80   0.211653E+04  -0.107160E+02   0.474331E-03  -0.107160E+02   0.467726E+00  -0.600379E-06   0.474331E-03  -0.600379E-06   0.114737E-06
    81   0.214334E+04  -0.112746E+02   0.467761E-03  -0.112746E+02   0.482654E+00  -0.617884E-06   0.467761E-03  -0.617884E-06   0.114057E-06
    82   0.217042E+04  -0.118423E+02   0.461280E-03  -0.118423E+02   0.497695E+00  -0.660128E-06   0.461280E-03  -0.660128E-06   0.113378E-06
    83   0.219775E+04  -0.124188E+02   0.454901E-03  -0.124188E+02   0.512838E+00  -0.719545E-06   0.454901E-03  -0.719545E-06   0.112700E-06
    84   0.222533E+04  -0.130037E+02   0.448637E-03  -0.130037E+02   0.528072E+00  -0.788570E-06   0.448637E-03  -0.788570E-06   0.112024E-06
    85   0.225314E+04  -0.135967E+02   0.442502E-03  -0.135967E+02   0.543385E+00  -0.859637E-06   0.442502E-03  -0.859637E-06   0.111351E-06
    86   0.228119E+04  -0.141972E+02   0.436507E-03  -0.141972E+02   0.558768E+00  -0.926329E-06   0.436507E-03  -0.926329E-06   0.110679E-06
    87   0.230944E+04  -0.148047E+02   0.430651E-03  -0.148047E+02   0.574207E+00  -0.986823E-06   0.430651E-03  -0.986823E-06   0.110010E-06
    88   0.233788E+04  -0.154188E+02   0.424935E-03  -0.154188E+02   0.589691E+00  -0.104044E-05   0.424935E-03  -0.104044E-05   0.109343E-06
    89   0.236651E+04  -0.160390E+02   0.419355E-03  -0.160390E+02   0.605206E+00  -0.108652E-05   0.419355E-03  -0.108652E-05   0.108679E-06
