#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  5220   0.108862E+00  -0.307964E-02   0.254870E-07  -0.307964E-02   0.277915E-02  -0.113008E-11   0.254870E-07  -0.113008E-11   0.466089E-09
  5221   0.108612E+00  -0.306962E-02   0.254686E-07  -0.306962E-02   0.276949E-02  -0.797155E-12   0.254686E-07  -0.797155E-12   0.465948E-09
  5222   0.108361E+00  -0.305952E-02   0.254502E-07  -0.305952E-02   0.275987E-02  -0.464334E-12   0.254502E-07  -0.464334E-12   0.465806E-09
  5223   0.108109E+00  -0.304934E-02   0.254318E-07  -0.304934E-02   0.275030E-02  -0.131626E-12   0.254318E-07  -0.131626E-12   0.465665E-09
  5224   0.107857E+00  -0.303909E-02   0.254134E-07  -0.303909E-02   0.274078E-02   0.200963E-12   0.254134E-07   0.200963E-12   0.465523E-09
  5225   0.107604E+00  -0.302876E-02   0.253950E-07  -0.302876E-02   0.273131E-02   0.533425E-12   0.253950E-07   0.533425E-12   0.465382E-09
  5226   0.107351E+00  -0.301836E-02   0.253765E-07  -0.301836E-02   0.272190E-02   0.865754E-12   0.253765E-07   0.865754E-12   0.465241E-09
  5227   0.107097E+00  -0.300787E-02   0.253581E-07  -0.300787E-02   0.271253E-02   0.119794E-11   0.253581E-07   0.119794E-11   0.465100E-09
  5228   0.106842E+00  -0.299732E-02   0.253396E-07  -0.299732E-02   0.270322E-02   0.152998E-11   0.253396E-07   0.152998E-11   0.464959E-09
  5229   0.106587E+00  -0.298668E-02   0.253212E-07  -0.298668E-02   0.269396E-02   0.186187E-11   0.253212E-07   0.186187E-11   0.464817E-09
  5230   0.106331E+00  -0.297597E-02   0.253027E-07  -0.297597E-02   0.268476E-02   0.219359E-11   0.253027E-07   0.219359E-11   0.464676E-09
  5231   0.106074E+00  -0.296519E-02   0.252843E-07  -0.296519E-02   0.267562E-02   0.252515E-11   0.252843E-07   0.252515E-11   0.464536E-09
  5232   0.105817E+00  -0.295434E-02   0.252658E-07  -0.295434E-02   0.266654E-02   0.285653E-11   0.252658E-07   0.285653E-11   0.464395E-09
  5233   0.105558E+00  -0.294340E-02   0.252473E-07  -0.294340E-02   0.265752E-02   0.318772E-11   0.252473E-07   0.318772E-11   0.464254E-09
  5234   0.105300E+00  -0.293239E-02   0.252289E-07  -0.293239E-02   0.264856E-02   0.351873E-11   0.252289E-07   0.351873E-11   0.464113E-09
  5235   0.105040E+00  -0.292132E-02   0.252104E-07  -0.292132E-02   0.263966E-02   0.384954E-11   0.252104E-07   0.384954E-11   0.463973E-09
  5236   0.104780E+00  -0.291016E-02   0.251919E-07  -0.291016E-02   0.263083E-02   0.418015E-11   0.251919E-07   0.418015E-11   0.463832E-09
  5237   0.104519E+00  -0.289894E-02   0.251734E-07  -0.289894E-02   0.262204E-02   0.451055E-11   0.251734E-07   0.451055E-11   0.463692E-09
  5238   0.104257E+00  -0.288765E-02   0.251549E-07  -0.288765E-02   0.261333E-02   0.484073E-11   0.251549E-07   0.484073E-11   0.463551E-09
  5239   0.103994E+00  -0.287629E-02   0.251364E-07  -0.287629E-02   0.260466E-02   0.517068E-11   0.251364E-07   0.517068E-11   0.463411E-09
  5240   0.103731E+00  -0.286487E-02   0.251179E-07  -0.286487E-02   0.259606E-02   0.550041E-11   0.251179E-07   0.550041E-11   0.463270E-09
  5241   0.103468E+00  -0.285337E-02   0.250994E-07  -0.285337E-02   0.258752E-02   0.582989E-11   0.250994E-07   0.582989E-11   0.463130E-09
  5242   0.103204E+00  -0.284181E-02   0.250809E-07  -0.284181E-02   0.257902E-02   0.615913E-11   0.250809E-07   0.615913E-11   0.462990E-09
  5243   0.102939E+00  -0.283019E-02   0.250623E-07  -0.283019E-02   0.257060E-02   0.648812E-11   0.250623E-07   0.648812E-11   0.462850E-09
  5244   0.102674E+00  -0.281850E-02   0.250438E-07  -0.281850E-02   0.256222E-02   0.681684E-11   0.250438E-07   0.681684E-11   0.462710E-09
  5245   0.102408E+00  -0.280675E-02   0.250253E-07  -0.280675E-02   0.255391E-02   0.714530E-11   0.250253E-07   0.714530E-11   0.462570E-09
  5246   0.102141E+00  -0.279494E-02   0.250068E-07  -0.279494E-02   0.254565E-02   0.747349E-11   0.250068E-07   0.747349E-11   0.462430E-09
  5247   0.101874E+00  -0.278307E-02   0.249882E-07  -0.278307E-02   0.253745E-02   0.780140E-11   0.249882E-07   0.780140E-11   0.462290E-09
  5248   0.101606E+00  -0.277114E-02   0.249697E-07  -0.277114E-02   0.252930E-02   0.812901E-11   0.249697E-07   0.812901E-11   0.462151E-09
  5249   0.101338E+00  -0.275915E-02   0.249512E-07  -0.275915E-02   0.252120E-02   0.845634E-11   0.249512E-07   0.845634E-11   0.462011E-09
  5250   0.101070E+00  -0.274710E-02   0.249326E-07  -0.274710E-02   0.251316E-02   0.878336E-11   0.249326E-07   0.878336E-11   0.461871E-09
  5251   0.100800E+00  -0.273500E-02   0.249141E-07  -0.273500E-02   0.250518E-02   0.911008E-11   0.249141E-07   0.911008E-11   0.461732E-09
  5252   0.100530E+00  -0.272284E-02   0.248956E-07  -0.272284E-02   0.249725E-02   0.943647E-11   0.248956E-07   0.943647E-11   0.461592E-09
  5253   0.100261E+00  -0.271062E-02   0.248770E-07  -0.271062E-02   0.248937E-02   0.976255E-11   0.248770E-07   0.976255E-11   0.461453E-09
  5254   0.999893E-01  -0.269836E-02   0.248585E-07  -0.269836E-02   0.248155E-02   0.100883E-10   0.248585E-07   0.100883E-10   0.461314E-09
  5255   0.997189E-01  -0.268604E-02   0.248399E-07  -0.268604E-02   0.247378E-02   0.104137E-10   0.248399E-07   0.104137E-10   0.461174E-09
  5256   0.994470E-01  -0.267367E-02   0.248214E-07  -0.267367E-02   0.246606E-02   0.107388E-10   0.248214E-07   0.107388E-10   0.461035E-09
  5257   0.991751E-01  -0.266125E-02   0.248028E-07  -0.266125E-02   0.245839E-02   0.110635E-10   0.248028E-07   0.110635E-10   0.460896E-09
  5258   0.989024E-01  -0.264878E-02   0.247843E-07  -0.264878E-02   0.245078E-02   0.113878E-10   0.247843E-07   0.113878E-10   0.460757E-09
  5259   0.986297E-01  -0.263626E-02   0.247658E-07  -0.263626E-02   0.244321E-02   0.117118E-10   0.247658E-07   0.117118E-10   0.460618E-09
  5260   0.983571E-01  -0.262370E-02   0.247472E-07  -0.262370E-02   0.243570E-02   0.120355E-10   0.247472E-07   0.120355E-10   0.460479E-09
  5261   0.980829E-01  -0.261109E-02   0.247287E-07  -0.261109E-02   0.242824E-02   0.123587E-10   0.247287E-07   0.123587E-10   0.460340E-09
  5262   0.978095E-01  -0.259843E-02   0.247101E-07  -0.259843E-02   0.242083E-02   0.126816E-10   0.247101E-07   0.126816E-10   0.460202E-09
  5263   0.975353E-01  -0.258574E-02   0.246916E-07  -0.258574E-02   0.241346E-02   0.130040E-10   0.246916E-07   0.130040E-10   0.460063E-09
  5264   0.972605E-01  -0.257299E-02   0.246730E-07  -0.257299E-02   0.240615E-02   0.133261E-10   0.246730E-07   0.133261E-10   0.459924E-09
  5265   0.969855E-01  -0.256021E-02   0.246545E-07  -0.256021E-02   0.239889E-02   0.136478E-10   0.246545E-07   0.136478E-10   0.459786E-09
  5266   0.967107E-01  -0.254738E-02   0.246359E-07  -0.254738E-02   0.239167E-02   0.139690E-10   0.246359E-07   0.139690E-10   0.459647E-09
  5267   0.964350E-01  -0.253452E-02   0.246174E-07  -0.253452E-02   0.238450E-02   0.142898E-10   0.246174E-07   0.142898E-10   0.459509E-09
  5268   0.961594E-01  -0.252161E-02   0.245989E-07  -0.252161E-02   0.237739E-02   0.146102E-10   0.245989E-07   0.146102E-10   0.459370E-09
  5269   0.958830E-01  -0.250867E-02   0.245803E-07  -0.250867E-02   0.237031E-02   0.149302E-10   0.245803E-07   0.149302E-10   0.459232E-09
  5270   0.956066E-01  -0.249569E-02   0.245618E-07  -0.249569E-02   0.236329E-02   0.152497E-10   0.245618E-07   0.152497E-10   0.459094E-09
  5271   0.953302E-01  -0.248268E-02   0.245433E-07  -0.248268E-02   0.235631E-02   0.155688E-10   0.245433E-07   0.155688E-10   0.458956E-09
  5272   0.950530E-01  -0.246963E-02   0.245247E-07  -0.246963E-02   0.234938E-02   0.158874E-10   0.245247E-07   0.158874E-10   0.458818E-09
  5273   0.947759E-01  -0.245654E-02   0.245062E-07  -0.245654E-02   0.234250E-02   0.162055E-10   0.245062E-07   0.162055E-10   0.458680E-09
  5274   0.944988E-01  -0.244343E-02   0.244877E-07  -0.244343E-02   0.233565E-02   0.165232E-10   0.244877E-07   0.165232E-10   0.458542E-09
  5275   0.942216E-01  -0.243028E-02   0.244692E-07  -0.243028E-02   0.232886E-02   0.168404E-10   0.244692E-07   0.168404E-10   0.458404E-09
  5276   0.939437E-01  -0.241710E-02   0.244506E-07  -0.241710E-02   0.232211E-02   0.171572E-10   0.244506E-07   0.171572E-10   0.458266E-09
  5277   0.936659E-01  -0.240389E-02   0.244321E-07  -0.240389E-02   0.231540E-02   0.174734E-10   0.244321E-07   0.174734E-10   0.458128E-09
  5278   0.933880E-01  -0.239066E-02   0.244136E-07  -0.239066E-02   0.230875E-02   0.177891E-10   0.244136E-07   0.177891E-10   0.457990E-09
  5279   0.931101E-01  -0.237739E-02   0.243951E-07  -0.237739E-02   0.230213E-02   0.181044E-10   0.243951E-07   0.181044E-10   0.457853E-09
  5280   0.928322E-01  -0.236410E-02   0.243766E-07  -0.236410E-02   0.229555E-02   0.184191E-10   0.243766E-07   0.184191E-10   0.457715E-09
  5281   0.925536E-01  -0.235078E-02   0.243581E-07  -0.235078E-02   0.228902E-02   0.187333E-10   0.243581E-07   0.187333E-10   0.457578E-09
  5282   0.922749E-01  -0.233744E-02   0.243396E-07  -0.233744E-02   0.228253E-02   0.190470E-10   0.243396E-07   0.190470E-10   0.457440E-09
  5283   0.919963E-01  -0.232408E-02   0.243211E-07  -0.232408E-02   0.227609E-02   0.193601E-10   0.243211E-07   0.193601E-10   0.457303E-09
  5284   0.917184E-01  -0.231069E-02   0.243026E-07  -0.231069E-02   0.226968E-02   0.196727E-10   0.243026E-07   0.196727E-10   0.457166E-09
  5285   0.914390E-01  -0.229728E-02   0.242842E-07  -0.229728E-02   0.226332E-02   0.199848E-10   0.242842E-07   0.199848E-10   0.457028E-09
  5286   0.911604E-01  -0.228385E-02   0.242657E-07  -0.228385E-02   0.225700E-02   0.202963E-10   0.242657E-07   0.202963E-10   0.456891E-09
  5287   0.908817E-01  -0.227040E-02   0.242472E-07  -0.227040E-02   0.225071E-02   0.206072E-10   0.242472E-07   0.206072E-10   0.456754E-09
  5288   0.906031E-01  -0.225693E-02   0.242288E-07  -0.225693E-02   0.224448E-02   0.209176E-10   0.242288E-07   0.209176E-10   0.456617E-09
  5289   0.903245E-01  -0.224345E-02   0.242103E-07  -0.224345E-02   0.223827E-02   0.212274E-10   0.242103E-07   0.212274E-10   0.456480E-09
  5290   0.900458E-01  -0.222995E-02   0.241918E-07  -0.222995E-02   0.223212E-02   0.215366E-10   0.241918E-07   0.215366E-10   0.456343E-09
  5291   0.897664E-01  -0.221644E-02   0.241734E-07  -0.221644E-02   0.222599E-02   0.218453E-10   0.241734E-07   0.218453E-10   0.456207E-09
  5292   0.894878E-01  -0.220291E-02   0.241550E-07  -0.220291E-02   0.221990E-02   0.221533E-10   0.241550E-07   0.221533E-10   0.456070E-09
  5293   0.892091E-01  -0.218936E-02   0.241365E-07  -0.218936E-02   0.221387E-02   0.224607E-10   0.241365E-07   0.224607E-10   0.455933E-09
  5294   0.889305E-01  -0.217580E-02   0.241181E-07  -0.217580E-02   0.220786E-02   0.227676E-10   0.241181E-07   0.227676E-10   0.455796E-09
  5295   0.886518E-01  -0.216224E-02   0.240997E-07  -0.216224E-02   0.220188E-02   0.230738E-10   0.240997E-07   0.230738E-10   0.455660E-09
  5296   0.883732E-01  -0.214866E-02   0.240813E-07  -0.214866E-02   0.219595E-02   0.233794E-10   0.240813E-07   0.233794E-10   0.455523E-09
  5297   0.880945E-01  -0.213508E-02   0.240629E-07  -0.213508E-02   0.219006E-02   0.236843E-10   0.240629E-07   0.236843E-10   0.455387E-09
  5298   0.878166E-01  -0.212148E-02   0.240445E-07  -0.212148E-02   0.218420E-02   0.239886E-10   0.240445E-07   0.239886E-10   0.455251E-09
  5299   0.875380E-01  -0.210787E-02   0.240261E-07  -0.210787E-02   0.217838E-02   0.242923E-10   0.240261E-07   0.242923E-10   0.455114E-09
  5300   0.872601E-01  -0.209427E-02   0.240077E-07  -0.209427E-02   0.217259E-02   0.245953E-10   0.240077E-07   0.245953E-10   0.454978E-09
  5301   0.869821E-01  -0.208066E-02   0.239893E-07  -0.208066E-02   0.216684E-02   0.248977E-10   0.239893E-07   0.248977E-10   0.454842E-09
  5302   0.867042E-01  -0.206704E-02   0.239710E-07  -0.206704E-02   0.216113E-02   0.251994E-10   0.239710E-07   0.251994E-10   0.454706E-09
  5303   0.864263E-01  -0.205342E-02   0.239526E-07  -0.205342E-02   0.215544E-02   0.255004E-10   0.239526E-07   0.255004E-10   0.454570E-09
  5304   0.861491E-01  -0.203980E-02   0.239343E-07  -0.203980E-02   0.214979E-02   0.258007E-10   0.239343E-07   0.258007E-10   0.454434E-09
  5305   0.858720E-01  -0.202617E-02   0.239160E-07  -0.202617E-02   0.214418E-02   0.261004E-10   0.239160E-07   0.261004E-10   0.454298E-09
  5306   0.855948E-01  -0.201255E-02   0.238976E-07  -0.201255E-02   0.213860E-02   0.263994E-10   0.238976E-07   0.263994E-10   0.454162E-09
  5307   0.853176E-01  -0.199893E-02   0.238793E-07  -0.199893E-02   0.213305E-02   0.266976E-10   0.238793E-07   0.266976E-10   0.454026E-09
  5308   0.850412E-01  -0.198530E-02   0.238610E-07  -0.198530E-02   0.212754E-02   0.269952E-10   0.238610E-07   0.269952E-10   0.453891E-09
  5309   0.847647E-01  -0.197169E-02   0.238427E-07  -0.197169E-02   0.212206E-02   0.272920E-10   0.238427E-07   0.272920E-10   0.453755E-09
  5310   0.844890E-01  -0.195807E-02   0.238244E-07  -0.195807E-02   0.211661E-02   0.275882E-10   0.238244E-07   0.275882E-10   0.453620E-09
  5311   0.842126E-01  -0.194446E-02   0.238061E-07  -0.194446E-02   0.211119E-02   0.278835E-10   0.238061E-07   0.278835E-10   0.453484E-09
  5312   0.839369E-01  -0.193086E-02   0.237879E-07  -0.193086E-02   0.210580E-02   0.281782E-10   0.237879E-07   0.281782E-10   0.453349E-09
  5313   0.836620E-01  -0.191727E-02   0.237696E-07  -0.191727E-02   0.210045E-02   0.284721E-10   0.237696E-07   0.284721E-10   0.453213E-09
  5314   0.833870E-01  -0.190368E-02   0.237514E-07  -0.190368E-02   0.209512E-02   0.287653E-10   0.237514E-07   0.287653E-10   0.453078E-09
  5315   0.831120E-01  -0.189011E-02   0.237332E-07  -0.189011E-02   0.208983E-02   0.290577E-10   0.237332E-07   0.290577E-10   0.452943E-09
  5316   0.828378E-01  -0.187654E-02   0.237149E-07  -0.187654E-02   0.208456E-02   0.293493E-10   0.237149E-07   0.293493E-10   0.452808E-09
  5317   0.825636E-01  -0.186299E-02   0.236967E-07  -0.186299E-02   0.207932E-02   0.296402E-10   0.236967E-07   0.296402E-10   0.452672E-09
  5318   0.822901E-01  -0.184944E-02   0.236785E-07  -0.184944E-02   0.207412E-02   0.299303E-10   0.236785E-07   0.299303E-10   0.452537E-09
  5319   0.820174E-01  -0.183591E-02   0.236603E-07  -0.183591E-02   0.206894E-02   0.302196E-10   0.236603E-07   0.302196E-10   0.452402E-09
  5320   0.817439E-01  -0.182239E-02   0.236422E-07  -0.182239E-02   0.206378E-02   0.305081E-10   0.236422E-07   0.305081E-10   0.452268E-09
  5321   0.814719E-01  -0.180889E-02   0.236240E-07  -0.180889E-02   0.205866E-02   0.307959E-10   0.236240E-07   0.307959E-10   0.452133E-09
  5322   0.811999E-01  -0.179541E-02   0.236059E-07  -0.179541E-02   0.205357E-02   0.310828E-10   0.236059E-07   0.310828E-10   0.451998E-09
  5323   0.809279E-01  -0.178195E-02   0.235877E-07  -0.178195E-02   0.204850E-02   0.313689E-10   0.235877E-07   0.313689E-10   0.451863E-09
  5324   0.806567E-01  -0.176850E-02   0.235696E-07  -0.176850E-02   0.204346E-02   0.316542E-10   0.235696E-07   0.316542E-10   0.451729E-09
  5325   0.803862E-01  -0.175507E-02   0.235515E-07  -0.175507E-02   0.203845E-02   0.319386E-10   0.235515E-07   0.319386E-10   0.451594E-09
  5326   0.801157E-01  -0.174166E-02   0.235334E-07  -0.174166E-02   0.203346E-02   0.322223E-10   0.235334E-07   0.322223E-10   0.451459E-09
  5327   0.798459E-01  -0.172827E-02   0.235153E-07  -0.172827E-02   0.202849E-02   0.325050E-10   0.235153E-07   0.325050E-10   0.451325E-09
  5328   0.795761E-01  -0.171491E-02   0.234973E-07  -0.171491E-02   0.202355E-02   0.327870E-10   0.234973E-07   0.327870E-10   0.451191E-09
  5329   0.793078E-01  -0.170157E-02   0.234792E-07  -0.170157E-02   0.201864E-02   0.330681E-10   0.234792E-07   0.330681E-10   0.451056E-09
  5330   0.790395E-01  -0.168825E-02   0.234612E-07  -0.168825E-02   0.201375E-02   0.333483E-10   0.234612E-07   0.333483E-10   0.450922E-09
  5331   0.787712E-01  -0.167497E-02   0.234432E-07  -0.167497E-02   0.200889E-02   0.336276E-10   0.234432E-07   0.336276E-10   0.450788E-09
  5332   0.785044E-01  -0.166170E-02   0.234251E-07  -0.166170E-02   0.200404E-02   0.339061E-10   0.234251E-07   0.339061E-10   0.450654E-09
  5333   0.782376E-01  -0.164847E-02   0.234071E-07  -0.164847E-02   0.199922E-02   0.341837E-10   0.234071E-07   0.341837E-10   0.450520E-09
  5334   0.779716E-01  -0.163525E-02   0.233892E-07  -0.163525E-02   0.199443E-02   0.344604E-10   0.233892E-07   0.344604E-10   0.450386E-09
  5335   0.777055E-01  -0.162208E-02   0.233712E-07  -0.162208E-02   0.198965E-02   0.347362E-10   0.233712E-07   0.347362E-10   0.450252E-09
  5336   0.774409E-01  -0.160893E-02   0.233533E-07  -0.160893E-02   0.198490E-02   0.350111E-10   0.233533E-07   0.350111E-10   0.450118E-09
  5337   0.771763E-01  -0.159581E-02   0.233353E-07  -0.159581E-02   0.198018E-02   0.352851E-10   0.233353E-07   0.352851E-10   0.449984E-09
  5338   0.769125E-01  -0.158273E-02   0.233174E-07  -0.158273E-02   0.197546E-02   0.355582E-10   0.233174E-07   0.355582E-10   0.449850E-09
  5339   0.766494E-01  -0.156968E-02   0.232995E-07  -0.156968E-02   0.197078E-02   0.358304E-10   0.232995E-07   0.358304E-10   0.449717E-09
  5340   0.763870E-01  -0.155668E-02   0.232816E-07  -0.155668E-02   0.196611E-02   0.361016E-10   0.232816E-07   0.361016E-10   0.449583E-09
  5341   0.761254E-01  -0.154369E-02   0.232638E-07  -0.154369E-02   0.196147E-02   0.363719E-10   0.232638E-07   0.363719E-10   0.449449E-09
  5342   0.758638E-01  -0.153075E-02   0.232459E-07  -0.153075E-02   0.195684E-02   0.366412E-10   0.232459E-07   0.366412E-10   0.449316E-09
  5343   0.756036E-01  -0.151785E-02   0.232281E-07  -0.151785E-02   0.195223E-02   0.369096E-10   0.232281E-07   0.369096E-10   0.449183E-09
  5344   0.753435E-01  -0.150499E-02   0.232103E-07  -0.150499E-02   0.194765E-02   0.371770E-10   0.232103E-07   0.371770E-10   0.449049E-09
  5345   0.750849E-01  -0.149216E-02   0.231925E-07  -0.149216E-02   0.194308E-02   0.374435E-10   0.231925E-07   0.374435E-10   0.448916E-09
  5346   0.748262E-01  -0.147938E-02   0.231747E-07  -0.147938E-02   0.193853E-02   0.377090E-10   0.231747E-07   0.377090E-10   0.448783E-09
  5347   0.745683E-01  -0.146664E-02   0.231569E-07  -0.146664E-02   0.193400E-02   0.379735E-10   0.231569E-07   0.379735E-10   0.448650E-09
  5348   0.743119E-01  -0.145394E-02   0.231392E-07  -0.145394E-02   0.192948E-02   0.382370E-10   0.231392E-07   0.382370E-10   0.448516E-09
  5349   0.740554E-01  -0.144129E-02   0.231214E-07  -0.144129E-02   0.192499E-02   0.384995E-10   0.231214E-07   0.384995E-10   0.448383E-09
  5350   0.738000E-01  -0.142868E-02   0.231037E-07  -0.142868E-02   0.192051E-02   0.387610E-10   0.231037E-07   0.387610E-10   0.448250E-09
  5351   0.735455E-01  -0.141612E-02   0.230860E-07  -0.141612E-02   0.191604E-02   0.390216E-10   0.230860E-07   0.390216E-10   0.448117E-09
  5352   0.732917E-01  -0.140361E-02   0.230684E-07  -0.140361E-02   0.191159E-02   0.392811E-10   0.230684E-07   0.392811E-10   0.447985E-09
  5353   0.730387E-01  -0.139114E-02   0.230507E-07  -0.139114E-02   0.190716E-02   0.395395E-10   0.230507E-07   0.395395E-10   0.447852E-09
  5354   0.727865E-01  -0.137872E-02   0.230331E-07  -0.137872E-02   0.190274E-02   0.397970E-10   0.230331E-07   0.397970E-10   0.447719E-09
  5355   0.725352E-01  -0.136635E-02   0.230155E-07  -0.136635E-02   0.189834E-02   0.400534E-10   0.230155E-07   0.400534E-10   0.447586E-09
  5356   0.722847E-01  -0.135403E-02   0.229979E-07  -0.135403E-02   0.189395E-02   0.403088E-10   0.229979E-07   0.403088E-10   0.447454E-09
  5357   0.720350E-01  -0.134177E-02   0.229803E-07  -0.134177E-02   0.188958E-02   0.405631E-10   0.229803E-07   0.405631E-10   0.447321E-09
  5358   0.717863E-01  -0.132956E-02   0.229628E-07  -0.132956E-02   0.188522E-02   0.408163E-10   0.229628E-07   0.408163E-10   0.447189E-09
  5359   0.715384E-01  -0.131740E-02   0.229452E-07  -0.131740E-02   0.188087E-02   0.410685E-10   0.229452E-07   0.410685E-10   0.447057E-09
  5360   0.712914E-01  -0.130530E-02   0.229277E-07  -0.130530E-02   0.187654E-02   0.413197E-10   0.229277E-07   0.413197E-10   0.446924E-09
  5361   0.710454E-01  -0.129326E-02   0.229102E-07  -0.129326E-02   0.187222E-02   0.415697E-10   0.229102E-07   0.415697E-10   0.446792E-09
  5362   0.708002E-01  -0.128127E-02   0.228927E-07  -0.128127E-02   0.186791E-02   0.418187E-10   0.228927E-07   0.418187E-10   0.446660E-09
  5363   0.705560E-01  -0.126934E-02   0.228753E-07  -0.126934E-02   0.186362E-02   0.420665E-10   0.228753E-07   0.420665E-10   0.446528E-09
  5364   0.703128E-01  -0.125747E-02   0.228579E-07  -0.125747E-02   0.185933E-02   0.423133E-10   0.228579E-07   0.423133E-10   0.446395E-09
  5365   0.700705E-01  -0.124566E-02   0.228405E-07  -0.124566E-02   0.185506E-02   0.425590E-10   0.228405E-07   0.425590E-10   0.446263E-09
  5366   0.698292E-01  -0.123392E-02   0.228231E-07  -0.123392E-02   0.185080E-02   0.428035E-10   0.228231E-07   0.428035E-10   0.446131E-09
  5367   0.695888E-01  -0.122222E-02   0.228057E-07  -0.122222E-02   0.184655E-02   0.430469E-10   0.228057E-07   0.430469E-10   0.446000E-09
  5368   0.693496E-01  -0.121061E-02   0.227884E-07  -0.121061E-02   0.184230E-02   0.432892E-10   0.227884E-07   0.432892E-10   0.445868E-09
  5369   0.691112E-01  -0.119905E-02   0.227710E-07  -0.119905E-02   0.183808E-02   0.435304E-10   0.227710E-07   0.435304E-10   0.445736E-09
  5370   0.688739E-01  -0.118756E-02   0.227538E-07  -0.118756E-02   0.183385E-02   0.437704E-10   0.227538E-07   0.437704E-10   0.445604E-09
  5371   0.686377E-01  -0.117613E-02   0.227365E-07  -0.117613E-02   0.182964E-02   0.440093E-10   0.227365E-07   0.440093E-10   0.445473E-09
  5372   0.684026E-01  -0.116478E-02   0.227192E-07  -0.116478E-02   0.182543E-02   0.442470E-10   0.227192E-07   0.442470E-10   0.445341E-09
  5373   0.681684E-01  -0.115349E-02   0.227020E-07  -0.115349E-02   0.182124E-02   0.444836E-10   0.227020E-07   0.444836E-10   0.445209E-09
  5374   0.679354E-01  -0.114227E-02   0.226848E-07  -0.114227E-02   0.181705E-02   0.447190E-10   0.226848E-07   0.447190E-10   0.445078E-09
  5375   0.677035E-01  -0.113112E-02   0.226676E-07  -0.113112E-02   0.181286E-02   0.449532E-10   0.226676E-07   0.449532E-10   0.444947E-09
  5376   0.674725E-01  -0.112004E-02   0.226505E-07  -0.112004E-02   0.180869E-02   0.451862E-10   0.226505E-07   0.451862E-10   0.444815E-09
  5377   0.672428E-01  -0.110904E-02   0.226333E-07  -0.110904E-02   0.180452E-02   0.454181E-10   0.226333E-07   0.454181E-10   0.444684E-09
  5378   0.670142E-01  -0.109811E-02   0.226162E-07  -0.109811E-02   0.180035E-02   0.456487E-10   0.226162E-07   0.456487E-10   0.444553E-09
  5379   0.667868E-01  -0.108725E-02   0.225991E-07  -0.108725E-02   0.179620E-02   0.458781E-10   0.225991E-07   0.458781E-10   0.444422E-09
  5380   0.665605E-01  -0.107648E-02   0.225821E-07  -0.107648E-02   0.179205E-02   0.461064E-10   0.225821E-07   0.461064E-10   0.444291E-09
  5381   0.663354E-01  -0.106577E-02   0.225650E-07  -0.106577E-02   0.178791E-02   0.463334E-10   0.225650E-07   0.463334E-10   0.444160E-09
  5382   0.661114E-01  -0.105514E-02   0.225480E-07  -0.105514E-02   0.178376E-02   0.465592E-10   0.225480E-07   0.465592E-10   0.444029E-09
  5383   0.658886E-01  -0.104460E-02   0.225310E-07  -0.104460E-02   0.177962E-02   0.467837E-10   0.225310E-07   0.467837E-10   0.443898E-09
  5384   0.656671E-01  -0.103413E-02   0.225141E-07  -0.103413E-02   0.177549E-02   0.470070E-10   0.225141E-07   0.470070E-10   0.443767E-09
  5385   0.654468E-01  -0.102375E-02   0.224971E-07  -0.102375E-02   0.177137E-02   0.472291E-10   0.224971E-07   0.472291E-10   0.443636E-09
  5386   0.652277E-01  -0.101344E-02   0.224802E-07  -0.101344E-02   0.176724E-02   0.474499E-10   0.224802E-07   0.474499E-10   0.443505E-09
  5387   0.650098E-01  -0.100323E-02   0.224633E-07  -0.100323E-02   0.176311E-02   0.476694E-10   0.224633E-07   0.476694E-10   0.443375E-09
  5388   0.647932E-01  -0.993091E-03   0.224465E-07  -0.993091E-03   0.175899E-02   0.478877E-10   0.224465E-07   0.478877E-10   0.443244E-09
  5389   0.645779E-01  -0.983036E-03   0.224297E-07  -0.983036E-03   0.175488E-02   0.481047E-10   0.224297E-07   0.481047E-10   0.443114E-09
  5390   0.643638E-01  -0.973071E-03   0.224129E-07  -0.973071E-03   0.175076E-02   0.483205E-10   0.224129E-07   0.483205E-10   0.442983E-09
  5391   0.641511E-01  -0.963194E-03   0.223961E-07  -0.963194E-03   0.174664E-02   0.485349E-10   0.223961E-07   0.485349E-10   0.442853E-09
  5392   0.639397E-01  -0.953406E-03   0.223793E-07  -0.953406E-03   0.174253E-02   0.487480E-10   0.223793E-07   0.487480E-10   0.442722E-09
  5393   0.637296E-01  -0.943706E-03   0.223626E-07  -0.943706E-03   0.173842E-02   0.489599E-10   0.223626E-07   0.489599E-10   0.442592E-09
  5394   0.635208E-01  -0.934096E-03   0.223459E-07  -0.934096E-03   0.173430E-02   0.491704E-10   0.223459E-07   0.491704E-10   0.442462E-09
  5395   0.633134E-01  -0.924575E-03   0.223292E-07  -0.924575E-03   0.173019E-02   0.493796E-10   0.223292E-07   0.493796E-10   0.442332E-09
  5396   0.631073E-01  -0.915150E-03   0.223126E-07  -0.915150E-03   0.172607E-02   0.495875E-10   0.223126E-07   0.495875E-10   0.442202E-09
  5397   0.629027E-01  -0.905813E-03   0.222960E-07  -0.905813E-03   0.172196E-02   0.497941E-10   0.222960E-07   0.497941E-10   0.442072E-09
