#    L    TT             EE             BB             TE          
   250   0.545937E+04   0.238826E+01   0.225679E-01   0.633299E+02
   251   0.544149E+04   0.247044E+01   0.227432E-01   0.649498E+02
   252   0.542308E+04   0.255485E+01   0.229183E-01   0.665591E+02
   253   0.540413E+04   0.264149E+01   0.230934E-01   0.681570E+02
   254   0.538467E+04   0.273038E+01   0.232683E-01   0.697425E+02
   255   0.536468E+04   0.282151E+01   0.234430E-01   0.713150E+02
   256   0.534417E+04   0.291490E+01   0.236176E-01   0.728737E+02
   257   0.532316E+04   0.301053E+01   0.237920E-01   0.744180E+02
   258   0.530165E+04   0.310841E+01   0.239661E-01   0.759469E+02
   259   0.527965E+04   0.320855E+01   0.241400E-01   0.774607E+02
   260   0.525719E+04   0.331094E+01   0.243137E-01   0.789574E+02
   261   0.523427E+04   0.341558E+01   0.244870E-01   0.804377E+02
   262   0.521090E+04   0.352247E+01   0.246601E-01   0.819000E+02
   263   0.518710E+04   0.363161E+01   0.248329E-01   0.833444E+02
   264   0.516288E+04   0.374299E+01   0.250054E-01   0.847694E+02
   265   0.513822E+04   0.385660E+01   0.251775E-01   0.861757E+02
   266   0.511315E+04   0.397243E+01   0.253492E-01   0.875611E+02
   267   0.508768E+04   0.409046E+01   0.255206E-01   0.889250E+02
   268   0.506180E+04   0.421068E+01   0.256916E-01   0.902680E+02
   269   0.503551E+04   0.433309E+01   0.258622E-01   0.915879E+02
   270   0.500884E+04   0.445767E+01   0.260324E-01   0.928855E+02
   271   0.498178E+04   0.458440E+01   0.262021E-01   0.941586E+02
   272   0.495435E+04   0.471327E+01   0.263714E-01   0.954079E+02
   273   0.492656E+04   0.484425E+01   0.265402E-01   0.966319E+02
   274   0.489841E+04   0.497733E+01   0.267085E-01   0.978314E+02
   275   0.486992E+04   0.511248E+01   0.268763E-01   0.990042E+02
   276   0.484111E+04   0.524969E+01   0.270437E-01   0.100151E+03
   277   0.481198E+04   0.538893E+01   0.272105E-01   0.101270E+03
   278   0.478253E+04   0.553019E+01   0.273768E-01   0.102361E+03
   279   0.475278E+04   0.567342E+01   0.275425E-01   0.103425E+03
   280   0.472275E+04   0.581860E+01   0.277076E-01   0.104460E+03
   281   0.469243E+04   0.596570E+01   0.278722E-01   0.105466E+03
   282   0.466184E+04   0.611469E+01   0.280363E-01   0.106442E+03
   283   0.463100E+04   0.626554E+01   0.281997E-01   0.107388E+03
   284   0.459990E+04   0.641823E+01   0.283625E-01   0.108303E+03
   285   0.456856E+04   0.657270E+01   0.285247E-01   0.109186E+03
   286   0.453699E+04   0.672895E+01   0.286863E-01   0.110039E+03
   287   0.450521E+04   0.688690E+01   0.288473E-01   0.110860E+03
   288   0.447322E+04   0.704655E+01   0.290076E-01   0.111647E+03
   289   0.444103E+04   0.720784E+01   0.291672E-01   0.112403E+03
   290   0.440865E+04   0.737073E+01   0.293263E-01   0.113124E+03
   291   0.437611E+04   0.753522E+01   0.294846E-01   0.113813E+03
   292   0.434339E+04   0.770115E+01   0.296423E-01   0.114467E+03
   293   0.431051E+04   0.786861E+01   0.297993E-01   0.115088E+03
   294   0.427748E+04   0.803752E+01   0.299556E-01   0.115672E+03
   295   0.424432E+04   0.820773E+01   0.301113E-01   0.116223E+03
   296   0.421102E+04   0.837932E+01   0.302662E-01   0.116738E+03
   297   0.417760E+04   0.855214E+01   0.304205E-01   0.117215E+03
   298   0.414407E+04   0.872619E+01   0.305740E-01   0.117657E+03
   299   0.411044E+04   0.890139E+01   0.307269E-01   0.118063E+03
   300   0.407672E+04   0.907767E+01   0.308790E-01   0.118432E+03
   301   0.404292E+04   0.925510E+01   0.310305E-01   0.118764E+03
   302   0.400906E+04   0.943347E+01   0.311812E-01   0.119059E+03
   303   0.397515E+04   0.961284E+01   0.313312E-01   0.119317E+03
   304   0.394119E+04   0.979315E+01   0.314805E-01   0.119538E+03
   305   0.390721E+04   0.997431E+01   0.316291E-01   0.119722E+03
   306   0.387321E+04   0.101563E+02   0.317770E-01   0.119868E+03
   307   0.383920E+04   0.103390E+02   0.319241E-01   0.119977E+03
   308   0.380519E+04   0.105225E+02   0.320706E-01   0.120048E+03
   309   0.377120E+04   0.107065E+02   0.322163E-01   0.120081E+03
   310   0.373722E+04   0.108911E+02   0.323614E-01   0.120077E+03
   311   0.370328E+04   0.110762E+02   0.325057E-01   0.120034E+03
   312   0.366937E+04   0.112618E+02   0.326494E-01   0.119953E+03
   313   0.363552E+04   0.114477E+02   0.327923E-01   0.119835E+03
   314   0.360173E+04   0.116339E+02   0.329345E-01   0.119678E+03
   315   0.356800E+04   0.118203E+02   0.330761E-01   0.119482E+03
   316   0.353436E+04   0.120070E+02   0.332170E-01   0.119249E+03
   317   0.350081E+04   0.121937E+02   0.333571E-01   0.118978E+03
   318   0.346737E+04   0.123804E+02   0.334967E-01   0.118668E+03
   319   0.343404E+04   0.125672E+02   0.336355E-01   0.118321E+03
   320   0.340082E+04   0.127539E+02   0.337737E-01   0.117936E+03
   321   0.336774E+04   0.129404E+02   0.339113E-01   0.117513E+03
   322   0.333479E+04   0.131267E+02   0.340482E-01   0.117053E+03
   323   0.330200E+04   0.133126E+02   0.341844E-01   0.116555E+03
   324   0.326936E+04   0.134982E+02   0.343201E-01   0.116020E+03
   325   0.323690E+04   0.136833E+02   0.344551E-01   0.115448E+03
   326   0.320460E+04   0.138680E+02   0.345895E-01   0.114839E+03
   327   0.317250E+04   0.140521E+02   0.347234E-01   0.114192E+03
   328   0.314059E+04   0.142354E+02   0.348566E-01   0.113509E+03
   329   0.310888E+04   0.144181E+02   0.349893E-01   0.112791E+03
   330   0.307739E+04   0.145999E+02   0.351214E-01   0.112036E+03
   331   0.304611E+04   0.147810E+02   0.352530E-01   0.111245E+03
   332   0.301506E+04   0.149610E+02   0.353840E-01   0.110419E+03
   333   0.298425E+04   0.151401E+02   0.355145E-01   0.109558E+03
   334   0.295368E+04   0.153181E+02   0.356445E-01   0.108661E+03
   335   0.292338E+04   0.154948E+02   0.357740E-01   0.107731E+03
   336   0.289333E+04   0.156704E+02   0.359031E-01   0.106765E+03
   337   0.286355E+04   0.158447E+02   0.360316E-01   0.105767E+03
   338   0.283405E+04   0.160176E+02   0.361597E-01   0.104736E+03
   339   0.280483E+04   0.161891E+02   0.362874E-01   0.103672E+03
   340   0.277592E+04   0.163592E+02   0.364147E-01   0.102575E+03
   341   0.274729E+04   0.165277E+02   0.365415E-01   0.101447E+03
   342   0.271898E+04   0.166945E+02   0.366680E-01   0.100287E+03
   343   0.269097E+04   0.168595E+02   0.367941E-01   0.990954E+02
   344   0.266328E+04   0.170228E+02   0.369198E-01   0.978728E+02
